iter	Passed	Remaining
408	4181	6042
409	4190	6030
410	4199	6018
411	4209	6007
412	4221	5999
413	4236	5996
414	4261	6007
415	4279	6008
416	4291	6000
417	4302	5990
418	4312	5979
419	4323	5970
420	4333	5959
421	4343	5948
422	4352	5937
423	4361	5925
424	4370	5913
425	4381	5903
426	4391	5892
427	4400	5881
428	4410	5870
429	4419	5858
430	4428	5847
431	4438	5836
432	4448	5824
433	4458	5814
434	4469	5805
435	4479	5794
436	4489	5783
437	4498	5771
438	4507	5760
439	4516	5748
440	4527	5738
441	4537	5727
442	4546	5716
443	4555	5705
444	4565	5693
445	4574	5681
446	4583	5670
447	4592	5658
448	4601	5647
449	4611	5635
450	4619	5623
451	4628	5611
452	4638	5600
453	4647	5589
454	4656	5577
455	4667	5568
456	4676	5557
457	4686	5546
458	4695	5534
459	4705	5523
460	4715	5513
461	4725	5503
462	4735	5492
463	4744	5480
464	4754	5470
465	4764	5460
466	4773	5448
467	4782	5436
468	4791	5424
469	4801	5413
470	4810	5403
471	4820	5391
472	4829	5381
473	4839	5369
474	4848	5358
475	4857	5347
476	4868	5337
477	4877	5326
478	4886	5315
479	4896	5304
480	4905	5293
481	4914	5281
482	4924	5271
483	4933	5260
484	4943	5249
485	4952	5237
486	4962	5226
487	4971	5215
488	4980	5205
489	4990	5194
490	5000	5183
491	5010	5173
492	5019	5161
493	5028	5150
494	5037	5138
495	5046	5127
496	5055	5116
497	5066	5106
498	5076	5096
499	5085	5085
500	5094	5074
501	5103	5062
502	5113	5052
503	5123	5042
504	5132	5030
505	5141	5019
506	5151	5008
507	5160	4998
508	5170	4987
509	5179	4976
510	5189	4966
511	5198	4954
512	5208	4944
513	5217	4933
514	5227	4922
515	5235	4911
516	5245	4900
517	5254	4889
518	5263	4878
519	5273	4868
520	5282	4857
521	5292	4846
522	5301	4835
523	5311	4824
524	5320	4814
525	5329	4803
526	5339	4792
527	5349	4782
528	5358	4771
529	5368	4760
530	5377	4749
531	5386	4738
532	5395	4727
533	5405	4716
534	5413	4705
535	5423	4694
536	5432	4684
537	5442	4673
538	5452	4663
539	5460	4651
540	5470	4641
541	5480	4630
542	5489	4620
543	5499	4609
544	5509	4599
545	5518	4588
546	5528	4578
547	5538	4568
548	5548	4558
549	5558	4547
550	5568	4537
551	5578	4527
552	5588	4517
553	5597	4506
554	5607	4495
555	5616	4484
556	5625	4474
557	5634	4463
558	5644	4452
559	5654	4442
560	5663	4431
561	5672	4420
562	5681	4410
563	5690	4399
564	5699	4388
565	5709	4378
566	5719	4368
567	5729	4357
568	5737	4346
569	5746	4335
570	5755	4324
571	5765	4313
572	5774	4303
573	5784	4293
574	5794	4282
575	5804	4272
576	5814	4262
577	5823	4251
578	5833	4241
579	5844	4232
580	5854	4222
581	5865	4212
582	5874	4201
583	5884	4191
584	5893	4180
585	5902	4169
586	5912	4159
587	5921	4149
588	5931	4139
589	5940	4128
590	5950	4117
591	5959	4107
592	5969	4097
593	5978	4086
594	5988	4076
595	5998	4065
596	6007	4055
597	6016	4044
598	6026	4034
599	6036	4024
600	6045	4013
601	6055	4003
602	6065	3993
603	6075	3983
604	6084	3972
605	6094	3962
606	6104	3952
607	6113	3941
608	6123	3931
609	6132	3920
610	6141	3910
611	6151	3899
612	6159	3888
613	6169	3878
614	6178	3867
615	6187	3856
616	6197	3846
617	6206	3836
618	6217	3826
619	6226	3816
620	6235	3805
621	6245	3795
622	6254	3784
623	6265	3775
624	6276	3765
625	6287	3756
626	6296	3745
627	6306	3735
628	6316	3725
629	6326	3715
630	6335	3704
631	6344	3694
632	6353	3683
633	6363	3673
634	6373	3663
635	6381	3652
636	6391	3642
637	6401	3631
638	6410	3621
639	6419	3611
640	6429	3600
641	6438	3590
642	6448	3580
643	6459	3570
644	6470	3561
645	6480	3551
646	6490	3541
647	6499	3530
648	6509	3520
649	6518	3510
650	6527	3499
651	6537	3489
652	6546	3478
653	6555	3468
654	6565	3458
655	6575	3448
656	6585	3438
657	6594	3427
658	6604	3417
659	6613	3406
660	6622	3396
661	6631	3386
662	6640	3375
663	6650	3365
664	6660	3355
665	6669	3344
666	6677	3333
667	6687	3323
668	6698	3313
669	6707	3303
670	6715	3292
671	6725	3282
672	6734	3272
673	6743	3261
674	6753	3251
675	6762	3241
676	6771	3230
677	6780	3220
678	6790	3210
679	6800	3200
680	6809	3189
681	6820	3180
682	6828	3169
683	6837	3159
684	6847	3148
685	6856	3138
686	6865	3128
687	6875	3118
688	6886	3108
689	6896	3098
690	6906	3088
691	6916	3078
692	6926	3068
693	6936	3058
694	6947	3048
695	6955	3038
696	6966	3028
697	6975	3018
698	6985	3007
699	6993	2997
700	7002	2986
701	7011	2976
702	7021	2966
703	7030	2956
704	7040	2945
705	7049	2935
706	7058	2925
707	7067	2915
708	7077	2904
709	7087	2894
710	7096	2884
711	7105	2874
712	7114	2863
713	7123	2853
714	7132	2843
715	7142	2833
716	7151	2822
717	7161	2812
718	7170	2802
719	7180	2792
720	7189	2781
721	7198	2771
722	7208	2761
723	7218	2751
724	7228	2741
725	7238	2731
726	7246	2721
727	7258	2711
728	7269	2702
729	7279	2692
730	7289	2682
731	7299	2672
732	7309	2662
733	7319	2652
734	7328	2642
735	7338	2632
736	7346	2621
737	7355	2611
738	7365	2601
739	7375	2591
740	7385	2581
741	7394	2571
742	7404	2561
743	7414	2551
744	7424	2541
745	7433	2531
746	7443	2520
747	7452	2510
748	7462	2500
749	7471	2490
750	7482	2480
751	7490	2470
752	7499	2460
753	7508	2449
754	7518	2439
755	7527	2429
756	7536	2419
757	7545	2409
758	7555	2399
759	7565	2388
760	7574	2378
761	7584	2368
762	7593	2358
763	7602	2348
764	7612	2338
765	7621	2328
766	7630	2318
767	7640	2308
768	7650	2298
769	7659	2287
770	7669	2277
771	7679	2268
772	7689	2258
773	7698	2247
774	7708	2238
775	7718	2227
776	7727	2217
777	7737	2207
778	7746	2197
779	7755	2187
780	7765	2177
781	7775	2167
782	7784	2157
783	7793	2147
784	7803	2137
785	7813	2127
786	7822	2117
787	7831	2106
788	7841	2097
789	7851	2087
790	7860	2076
791	7869	2066
792	7879	2056
793	7888	2046
794	7897	2036
795	7907	2026
796	7917	2016
797	7926	2006
798	7936	1996
799	7946	1986
800	7956	1976
801	7965	1966
802	7975	1956
803	7984	1946
804	7993	1936
805	8003	1926
806	8013	1916
807	8022	1906
808	8031	1896
809	8042	1886
810	8051	1876
811	8061	1866
812	8070	1856
813	8078	1846
814	8088	1835
815	8097	1825
816	8106	1815
817	8116	1805
818	8125	1795
819	8135	1785
820	8144	1775
821	8153	1765
822	8162	1755
823	8172	1745
824	8182	1735
825	8190	1725
826	8200	1715
827	8209	1705
828	8220	1695
829	8230	1685
830	8240	1675
831	8250	1665
832	8260	1655
833	8270	1646
834	8280	1636
835	8290	1626
836	8300	1616
837	8309	1606
838	8319	1596
839	8328	1586
840	8337	1576
841	8347	1566
842	8356	1556
843	8365	1546
844	8375	1536
845	8384	1526
846	8394	1516
847	8404	1506
848	8415	1496
849	8425	1486
850	8434	1476
851	8445	1467
852	8455	1457
853	8464	1447
854	8474	1437
855	8483	1427
856	8493	1417
857	8503	1407
858	8513	1397
859	8523	1387
860	8532	1377
861	8541	1367
862	8551	1357
863	8560	1347
864	8569	1337
865	8579	1327
866	8589	1317
867	8599	1307
868	8608	1297
869	8617	1287
870	8627	1277
871	8636	1267
872	8646	1257
873	8656	1247
874	8666	1238
875	8675	1228
876	8685	1218
877	8694	1208
878	8704	1198
879	8713	1188
880	8723	1178
881	8732	1168
882	8741	1158
883	8751	1148
884	8761	1138
885	8771	1128
886	8781	1118
887	8790	1108
888	8799	1098
889	8809	1088
890	8819	1078
891	8829	1069
892	8839	1059
893	8848	1049
894	8858	1039
895	8867	1029
896	8877	1019
897	8886	1009
898	8896	999
899	8906	989
900	8915	979
901	8924	969
902	8934	959
903	8944	949
904	8953	939
905	8962	929
906	8972	919
907	8981	910
908	8991	900
909	9001	890
910	9010	880
911	9020	870
912	9030	860
913	9041	850
914	9051	840
915	9059	830
916	9070	820
917	9080	811
918	9089	801
919	9098	791
920	9108	781
921	9118	771
922	9128	761
923	9138	751
924	9148	741
925	9157	731
926	9167	721
927	9177	712
928	9186	702
929	9195	692
930	9205	682
931	9215	672
932	9225	662
933	9234	652
934	9244	642
935	9253	632
936	9262	622
937	9272	612
938	9281	602
939	9291	593
940	9301	583
941	9311	573
942	9320	563
943	9330	553
944	9339	543
945	9349	533
946	9359	523
947	9368	513
948	9378	504
949	9387	494
950	9396	484
951	9406	474
952	9415	464
953	9425	454
954	9435	444
955	9444	434
956	9453	424
957	9464	414
958	9476	405
959	9486	395
960	9496	385
961	9506	375
962	9516	365
963	9525	355
964	9535	345
965	9545	335
966	9555	326
967	9564	316
968	9574	306
969	9584	296
970	9595	286
971	9605	276
972	9614	266
973	9624	256
974	9634	247
975	9643	237
976	9653	227
977	9662	217
978	9672	207
979	9681	197
980	9691	187
981	9702	177
982	9712	167
983	9722	158
984	9731	148
985	9740	138
986	9750	128
987	9760	118
988	9770	108
989	9780	98
990	9790	88
991	9800	79
992	9809	69
993	9819	59
994	9830	49
995	9840	39
996	9851	29
997	9861	19
998	9870	9
999	9879	0
